Genre,programCode,programName,textColor,backgroundColor2
ARTIST,BB2,BB2 CSBW 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 CVHS,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 DUA LIPA,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 DUA LIPA 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 DVGT,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 EDSR,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 EMINEM,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 FLG,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 FOB,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 GRDY,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 JONAS,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 JUSTIN,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 KYGO,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 LDGG,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 LDGG 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 MDNA,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 MJ,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 MJ 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 MJ 3,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 MRN5,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 MTGX,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 NE-YO,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 PINK,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 PTX,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 QUEEN,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 RHCP,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 RHNA,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 SIGALA,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 SMST,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 USHER,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 USHER 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 ZEDD,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 SKRILLEX,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB3,BB3 IRMD,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
ARTIST,BSW,BSW L&S,"color: rgb(255, 255, 255)"," background-color: rgb(204, 102, 255)"
ARTIST,BSWi,BSWi BMLY,"color: rgb(255, 255, 102)"," background-color: rgb(153, 0, 153)"
ARTIST,BSBi,BSBi BMLY,"color: rgb(255, 255, 102)"," background-color: rgb(51, 102, 153)"
COMPILATION,BB1,BB1 COMP 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
COMPILATION,BB1,BB1 COMP 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
COMPILATION,BB1,BB1 COMP 3,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
COMPILATION,BB1,BB1 COMP 4,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
COMPILATION,BB2,BB2 COMP 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
COMPILATION,BB2,BB2 COMP 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
COMPILATION,BB2,BB2 COMP 3,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
COMPILATION,BB2,BB2 COMP 4,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
COMPILATION,BB2,BB2 COMP 5,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
COMPILATION,BB2,BB2 COMP 6,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
COMPILATION,BB3,BB3 COMP 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
COMPILATION,BSW,BSW COMP 1,"color: rgb(255, 255, 255)"," background-color: rgb(204, 102, 255)"
COMPILATION,BSW,BSW COMP 2,"color: rgb(255, 255, 255)"," background-color: rgb(204, 102, 255)"
COMPILATION,BSW,BSW COMP 3,"color: rgb(255, 255, 255)"," background-color: rgb(204, 102, 255)"
COMPILATION,BSL,BSL COMP 1,"color: rgb(255, 255, 255)"," background-color: rgb(0, 0, 204)"
COMPILATION,BSB,BSB COMP 1,"color: rgb(0, 0, 0)"," background-color: rgb(0, 204, 255)"
DEEP,BB2,BB2 DEEP 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
DEEP,BB2,BB2 DEEP 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
DEEP,BB2,BB2 DEEP 3,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
DEEP,BB3,BB3 DEEP 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
DEEP,BSL,BSL DEEP 1,"color: rgb(255, 255, 255)"," background-color: rgb(0, 0, 204)"
DEEP,BSL,BSL DEEP 2,"color: rgb(255, 255, 255)"," background-color: rgb(0, 0, 204)"
DEEP,BSL,BSL DEEP 3,"color: rgb(255, 255, 255)"," background-color: rgb(0, 0, 204)"
DEEP,BSL,BSL DEEP 4,"color: rgb(255, 255, 255)"," background-color: rgb(0, 0, 204)"
DEEP,BSB,BSB DEEP 1,"color: rgb(0, 0, 0)"," background-color: rgb(0, 204, 255)"
LUSTER,EVENT,L 25 BTM,"color: rgb(189, 71, 220)"," background-color: rgb(0, 18, 28)"
LUSTER,EVENT,L 25 FEEL,"color: rgb(51, 153, 255)"," background-color: rgb(0, 18, 28)"
LUSTER,EVENT,L 25 FREE,"color: rgb(255, 51, 51)"," background-color: rgb(0, 18, 28)"
LUSTER,EVENT,L 24 FEEL,"color: rgb(51, 153, 255)"," background-color: rgb(0, 18, 28)"
LUSTER,EVENT,L 24 FREE,"color: rgb(255, 51, 51)"," background-color: rgb(0, 18, 28)"
LUSTER,EVENT,L 24 FEEL 2,"color: rgb(51, 153, 255)"," background-color: rgb(0, 18, 28)"
LUSTER,EVENT,L 24 FREE 2,"color: rgb(255, 51, 51)"," background-color: rgb(0, 18, 28)"
EVENT,BB2,BB2 3Y-1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
EVENT,BB2,BB2 3Y-2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
EVENT,BB2,BB2 2016,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
EVENT,BB2,BB2 2017,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
EVENT,BB2,BB2 2018,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
EVENT,BB2,BB2 2019,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
EVENT,EVENT,8th SP,"color: rgb(255, 255, 255)"," background-color: rgb(0, 0, 0)"
EVENT,EVENT,9th SP1,"color: rgb(255, 255, 255)"," background-color: rgb(0, 0, 0)"
EVENT,EVENT,9th SP2,"color: rgb(255, 255, 255)"," background-color: rgb(0, 0, 0)"
